#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Presupuesto inicial (Proyecto Ppto.)
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,16004,CUOTAS ELKARKIDETZA,110,9,1,4528
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,20101,ARRENDAMIENTO DE EDIFICIOS Y OTRAS CONSTRUCCIONES,110,9,2,2000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,20901,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,110,9,2,4000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22002,"PRENSA, REVISTA, LIBROS Y OTRAS PUBLICACIONES",110,9,2,1000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22199,OTROS SUMINISTROS,110,9,2,2000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22601,CANONES,110,9,2,3000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22602,ATENCIONES PROTOCALARIAS Y REPRESENTATIVAS,110,9,2,1000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22603,PUBLICIDAD Y PROPAGANDA,110,9,2,20000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22605,REUNIONES Y CONFERENCIAS,110,9,2,11000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22607,CUOTAS PARTICIPACION EN OTROS ENTES,110,9,2,240000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22699,OTROS GASTOS DIVERSOS,110,9,2,2000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22704,CONTRATOS SOCIO-CULTURALES,110,9,2,3000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22707,ESTUDIOS Y TRABAJOS TECNICOS,110,9,2,297800
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22712,SERVICIOS INFORMATICOS,110,9,2,225000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22713,PRESTACIONES DE SERVICIOS DE COMUNICACIÓN E IMAGEN,110,9,2,1000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22717,SERVICIOS DE AGENCIAS DE VIAJES,110,9,2,9000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22720,SERVICIOS DE TRADUCCION E INTERPRETES,110,9,2,8000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22723,SERVICIOS DE ILUMINACIÓN Y SONIDO,110,9,2,1000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,22799,OTROS TRABAJOS REALIZADOS POR EMPRESAS EXTERNAS,110,9,2,1000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,23001,"DIETAS, LOCOMOCION Y TRASLADO DEL PERSONAL",110,9,2,10000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,23999,OTRAS INDEMNIZACIONES,110,9,2,1000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,64301,"INVESTIGACIONES, ESTUDIOS Y PROYECTOS",110,9,6,20000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9121,APOYO AL GOBIERNO MUNICIPAL,64401,APLICACIONES INFORMÁTICAS,110,9,6,340000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,10001,RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,110,9,1,851001
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,11001,RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DEL PERSONAL EVENTUAL DE GABINETES,110,9,1,480966
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,16001,SEGURIDAD SOCIAL,110,9,1,330877
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,22002,"PRENSA, REVISTA, LIBROS Y OTRAS PUBLICACIONES",110,9,2,20500
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,22104,SUMINISTRO DE COMBUSTIBLES Y CARBURANTES,110,9,2,900
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,22199,OTROS SUMINISTROS,110,9,2,1000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,22602,ATENCIONES PROTOCALARIAS Y REPRESENTATIVAS,110,9,2,40000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,22699,OTROS GASTOS DIVERSOS,110,9,2,3000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,22717,SERVICIOS DE AGENCIAS DE VIAJES,110,9,2,18000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,22754,SERVICIOS DE FORMACION Y APRENDIZAJE,110,9,2,3000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,23101,"DIETAS, LOCOMOCION Y TRASLADO DE ALTOS CARGOS",110,9,2,56000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9122,GRUPOS POLÍTICOS Y CARGOS ELECTOS,48101,TRANSFERENCIAS CORRIENTES A GRUPOS POLITICOS MUNICIPALES,110,9,4,527100
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,11001,RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DEL PERSONAL EVENTUAL DE GABINETES,110,9,1,90064
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,12001,RETRIBUCIONES BASICAS DEL PERSONAL FUNCIONARIO,110,9,1,986582
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,12101,COMPLEMENTO DE DESTINO,110,9,1,419044
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,12102,COMPLEMENTO ESPECIFICO,110,9,1,1286436
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,12103,COMPLEMENTO DE PRODUCTIVIDAD,110,9,1,156131
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,12104,GRATIFICACIONES,110,9,1,8700
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,16001,SEGURIDAD SOCIAL,110,9,1,633553
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,16004,CUOTAS ELKARKIDETZA,110,9,1,46892
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,16005,ASISTENCIA MEDICO-FARMACEUTICA,110,9,1,2265000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,16201,FORMACION DE FUNCIONARIOS Y PERSONAL NO LABORAL,110,9,1,300000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,20101,ARRENDAMIENTO DE EDIFICIOS Y OTRAS CONSTRUCCIONES,110,9,2,5700
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,21501,CONSERVACION EQUIPAMIENTO PARA PROCESOS DE LA INFORMACION,110,9,2,1000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,21901,CONSERVACION DE OTRO INMOVILIZADO MATERIAL,110,9,2,14000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22108,SUMINISTRO DE PRODUCTOS FARMACEUTICOS Y HEMODERIVADOS,110,9,2,3500
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22112,SUMINISTRO DE MATERIAL SANITARIO,110,9,2,8000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22199,OTROS SUMINISTROS,110,9,2,5000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22603,PUBLICIDAD Y PROPAGANDA,110,9,2,1000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22604,GASTOS JURIDICOS,110,9,2,1500
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22610,INDEMNIZACIONES,110,9,2,2500
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22699,OTROS GASTOS DIVERSOS,110,9,2,5000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22707,ESTUDIOS Y TRABAJOS TECNICOS,110,9,2,15000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22712,SERVICIOS INFORMATICOS,110,9,2,102500
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,22721,SERVICIOS DE LIMPIEZA Y ASEO,110,9,2,2100
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,23901,OTRAS INDEMNIZACIONES. ASISTENCIA TRIBUNALES,110,9,2,6000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,62599,OTROS ENSERES DESTINADOS AL SERVICIO PUBLICO,110,9,6,4000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,62901,OTRAS INVERSIONES DESTINADAS AL SERVICIO PUBLICO,110,9,6,10000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,64401,APLICACIONES INFORMÁTICAS,110,9,6,70000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9202,GESTIÓN DE LOS RECURSOS HUMANOS,83301,CONCESION DE ANTICIPOS A LARGO PLAZO AL PERSONAL,110,9,8,400000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9204,SERVICIOS DE TRATAMIENTO DE LA INFORMACIÓN,20501,ARRENDAMIENTO DE EQUIPOS PARA PROCESOS DE INFORMACIÓN,110,9,2,297000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9204,SERVICIOS DE TRATAMIENTO DE LA INFORMACIÓN,22712,SERVICIOS INFORMATICOS,110,9,2,8163400
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9204,SERVICIOS DE TRATAMIENTO DE LA INFORMACIÓN,62609,EQUIPOS PARA PROCESOS DE INFORMACION DESTINADOS AL SERVICIO PÚBLICO (ENTES DEL GRUPO),110,9,6,55000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9204,SERVICIOS DE TRATAMIENTO DE LA INFORMACIÓN,73307,TRANSFERENCIAS DE CAPITAL A CIMUBISA,110,9,7,537000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12001,RETRIBUCIONES BASICAS DEL PERSONAL FUNCIONARIO,110,9,1,1882484
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12101,COMPLEMENTO DE DESTINO,110,9,1,600851
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12102,COMPLEMENTO ESPECIFICO,110,9,1,2477906
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12103,COMPLEMENTO DE PRODUCTIVIDAD,110,9,1,372222
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12104,GRATIFICACIONES,110,9,1,3629
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,16001,SEGURIDAD SOCIAL,110,9,1,1469989
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,16004,CUOTAS ELKARKIDETZA,110,9,1,77517
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22699,OTROS GASTOS DIVERSOS,110,9,2,4000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9291,CRÉDITO GLOBAL PARA GASTOS DE PERSONAL,12103,COMPLEMENTO DE PRODUCTIVIDAD,110,9,1,1750000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9291,CRÉDITO GLOBAL PARA GASTOS DE PERSONAL,12104,GRATIFICACIONES,110,9,1,1125900
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,11001,RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DEL PERSONAL EVENTUAL DE GABINETES,110,9,1,77615
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,12001,RETRIBUCIONES BASICAS DEL PERSONAL FUNCIONARIO,110,9,1,125953
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,12101,COMPLEMENTO DE DESTINO,110,9,1,59158
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,12102,COMPLEMENTO ESPECIFICO,110,9,1,143569
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,12103,COMPLEMENTO DE PRODUCTIVIDAD,110,9,1,10902
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,16001,SEGURIDAD SOCIAL,110,9,1,90807
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,16004,CUOTAS ELKARKIDETZA,110,9,1,3996
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,22199,OTROS SUMINISTROS,110,9,2,400
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,22603,PUBLICIDAD Y PROPAGANDA,110,9,2,17000
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,22699,OTROS GASTOS DIVERSOS,110,9,2,5300
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,22712,SERVICIOS INFORMATICOS,110,9,2,15500
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,22717,SERVICIOS DE AGENCIAS DE VIAJES,110,9,2,600
110,"ALCALDÍA, CONTRATACIÓN Y RECURSOS HUMANOS",9313,CONTRATACIÓN,23001,"DIETAS, LOCOMOCION Y TRASLADO DEL PERSONAL",110,9,2,700
120,"DESARROLLO ECONÓMICO, COMERCIO Y EMPLEO",2411,APOYO AL EMPLEO,43203,TRANSFERENCIAS CORRIENTES A BILBAO EKINTZA,120,2,4,15890200
120,"DESARROLLO ECONÓMICO, COMERCIO Y EMPLEO",2411,APOYO AL EMPLEO,73203,TRANSFERENCIAS DE CAPITAL A BILBAO EKINTZA,120,2,7,400000
120,"DESARROLLO ECONÓMICO, COMERCIO Y EMPLEO",4321,PROMOCIÓN Y APOYO AL TURISMO,43203,TRANSFERENCIAS CORRIENTES A BILBAO EKINTZA,120,4,4,2900000
120,"DESARROLLO ECONÓMICO, COMERCIO Y EMPLEO",4321,PROMOCIÓN Y APOYO AL TURISMO,73203,TRANSFERENCIAS DE CAPITAL A BILBAO EKINTZA,120,4,7,5000
120,"DESARROLLO ECONÓMICO, COMERCIO Y EMPLEO",4391,PROMOCIÓN DE LA CIUDAD,43203,TRANSFERENCIAS CORRIENTES A BILBAO EKINTZA,120,4,4,5219800
120,"DESARROLLO ECONÓMICO, COMERCIO Y EMPLEO",9121,APOYO AL GOBIERNO MUNICIPAL,10001,RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE ALTOS CARGOS,120,9,1,71168
120,"DESARROLLO ECONÓMICO, COMERCIO Y EMPLEO",9121,APOYO AL GOBIERNO MUNICIPAL,16001,SEGURIDAD SOCIAL,120,9,1,14832
130,ECONOMÍA Y HACIENDA,1511,PLANEAMIENTO URBANÍSTICO,83202,CONCESION DE ANTICIPOS Y PRESTAMOS A L/P DEL RESTO DEL SECTOR PUBLICO,130,1,8,750000
130,ECONOMÍA Y HACIENDA,1514,REHABILITACIÓN DE LOS ESPACIOS DEGRADADOS,64301,"INVESTIGACIONES, ESTUDIOS Y PROYECTOS",130,1,6,20000
130,ECONOMÍA Y HACIENDA,1514,REHABILITACIÓN DE LOS ESPACIOS DEGRADADOS,68001,TERRENOS Y BIENES NATURALES PATRIMONIALES,130,1,6,2170000
130,ECONOMÍA Y HACIENDA,1611,ABASTECIMIENTO DE AGUAS,22101,SUMINISTRO DE ENERGIA ELECTRICA,130,1,2,332000
130,ECONOMÍA Y HACIENDA,1611,ABASTECIMIENTO DE AGUAS,22102,SUMINISTRO DE AGUA,130,1,2,2500000
130,ECONOMÍA Y HACIENDA,1651,ALUMBRADO PÚBLICO,22101,SUMINISTRO DE ENERGIA ELECTRICA,130,1,2,4248900
130,ECONOMÍA Y HACIENDA,3231,FUNCIONA.CTROS.ENSEÑANZA INFANTIL/PRIMARIA/ESPECIA,22101,SUMINISTRO DE ENERGIA ELECTRICA,130,3,2,1245000
130,ECONOMÍA Y HACIENDA,9202,GESTIÓN DE LOS RECURSOS HUMANOS,16205,SEGUROS DE FUNCIONARIOS Y PERSONAL NO LABORAL,130,9,1,1300000
130,ECONOMÍA Y HACIENDA,9202,GESTIÓN DE LOS RECURSOS HUMANOS,22707,ESTUDIOS Y TRABAJOS TECNICOS,130,9,2,3000
130,ECONOMÍA Y HACIENDA,9204,SERVICIOS DE TRATAMIENTO DE LA INFORMACIÓN,20901,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,130,9,2,13200
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12001,RETRIBUCIONES BASICAS DEL PERSONAL FUNCIONARIO,130,9,1,267909
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12101,COMPLEMENTO DE DESTINO,130,9,1,96411
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12102,COMPLEMENTO ESPECIFICO,130,9,1,342027
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12103,COMPLEMENTO DE PRODUCTIVIDAD,130,9,1,48201
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,12104,GRATIFICACIONES,130,9,1,1802
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,16001,SEGURIDAD SOCIAL,130,9,1,177542
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,16004,CUOTAS ELKARKIDETZA,130,9,1,15857
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,21301,CONSERVACION MATERIAL DE TRANSPORTE,130,9,2,120000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22104,SUMINISTRO DE COMBUSTIBLES Y CARBURANTES,130,9,2,450000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22199,OTROS SUMINISTROS,130,9,2,6000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22402,SEGUROS DE VEHICULOS,130,9,2,320000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22502,TRIBUTOS DEL TERRITORIO HISTORICO,130,9,2,5000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22603,PUBLICIDAD Y PROPAGANDA,130,9,2,3000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22610,INDEMNIZACIONES,130,9,2,2000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22699,OTROS GASTOS DIVERSOS,130,9,2,11000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22707,ESTUDIOS Y TRABAJOS TECNICOS,130,9,2,18000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22712,SERVICIOS INFORMATICOS,130,9,2,58468
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,22717,SERVICIOS DE AGENCIAS DE VIAJES,130,9,2,1000
130,ECONOMÍA Y HACIENDA,9205,OTROS SERVICIOS COMUNES DE LA ENTIDAD MUNICIPAL,23001,"DIETAS, LOCOMOCION Y TRASLADO DEL PERSONAL",130,9,2,10000
130,ECONOMÍA Y HACIENDA,9209,GASTOS COMUNES DE LOS DIFERENTES SERVICIOS,12001,RETRIBUCIONES BASICAS DEL PERSONAL FUNCIONARIO,130,9,1,441415
