#Subconcepto,,Prevision Inicial 2016,Modificaciones 2016,Previsión definitiva 2016,Derechos reconocidos netos 2016
39102,ISUNAK TRAFIKO ETA APARKAMEN. (TAO) ORDENANTZAREN AURKAKO ARAU-HAUSTEENGATIK,2650000,0,2650000,6754021.81
39103,ISUNAK ADMINISTRAZIOKO ARAU HAUSTEENGATIK,550000,0,550000,793043.84
39104,ZERGEI DAGOZKIEN ISUNAK,15000,0,15000,11425
39105,ISUNAK INGURUMENAREN AURKAKO ARAU HAUSTEENGATIK,10000,0,10000,13800
39201,PREMIAMENDU BIDEZKO ERREKARGUAK,1640000,0,1640000,1285478.45
39301,BERANDUTZA INTERESAK,820000,0,820000,670874.33
39601,ZERGA KONPENTSAZIOAK,1642000,0,1642000,1678524.19
39901,PUBLIZITATEA UDAL EGUNKARI ETA ALDIZKARIETAN,10000,0,10000,0
39902,AZTERKETA ESKUBIDEAK,0,0,0,3048
39904,BESTE UDAL BATZUK UREZ HORNITZEA,0,0,0,1664.49
39905,ONTZIKIEN GESTIORAKO SISTEMA INTEGRATUAK,1800000,0,1800000,2271183.8
39906,BERMEAK BETEARAZTEA,3000,0,3000,16417.9
39907,FAKTURAZIOAREN RAPPELA,4000,0,4000,0
39908,BESTE UDAL BATZUEKIN ZERBITZUEN KONPENTSAZIOA,60000,0,60000,69508.25
39910,SAILEK PROGRAMATUTAKO JARDUEREN SARRERAK,18000,0,18000,2390.2
39911,PUBLIZITATE BABESLETZA,85000,0,85000,0
39912,PARTIKULARREN KONTURAKO IRAGARKIAK,20000,0,20000,18251.53
39913,OBREN ETA INSTALAZIOEN BETEARAZTE SUBSIDIARIOA PARTIKULARREN KONTURA,200000,0,200000,23447.01
39916,KALTEAK UDAL ONDASUNETAN,100000,0,100000,123732.06
39999,BESTE SARRERA BATZUK,800000,0,800000,395084.57
40001,PARTAIDETZA ZERGA ITUNDU GABEETAN,700000,0,700000,527203.01
40005,"SANITATE, ZERBITZU SOZIALA ETA KONTSUMO MINISTERIOA",120000,7980,127980,58796.65
40010,GOBERNUAREN BIZKAIKO ORDEZKARIORDETZA,60000,0,60000,40427.1
40102,ESTATISTIKAKO INSTITUTU NAZIONALA (INE),4000,0,4000,3724.16
40104,GAZTE INSTITUTOA,0,7320,7320,5856
40106,ARTE ESZENIKOEN ETA MUSIKAREN INSTITUTU NAZIONALA,9000,0,9000,9000
41001,ENPLEGU ETA GIZARTE GAIAK,5151590,272269.32,5423859.32,7202717.03
41002,"EAE-KO HEZKUNTZA, UNIBERTSITATE ETA IKERKETA",150000,0,150000,236946.22
41003,"EAE-KO INGURUMEN,LURRALDEPLANGINTZA,NEKATARITZA ETA ARRANTZA",10500,0,10500,24872.11
41004,EAE-KO KULTURA,122000,0,122000,122719.5
41005,EAE-KO HERRIZAINGOA,0,0,0,46280
41012,EAE-KO GARAPEN EKONOMIKOA ETA KONPETITIBITATEA,0,0,0,15582
41013,EAE-KO LEHENDAKARITZA,0,0,0,7477.45
41101,HERRI ARDURALARITZAREN EUSKAL ERAKUNDEA (HAEE),120000,0,120000,120913.84
41103,EMAKUMEAREN EUSKAL ERAKUNDEA (EMAKUNDE),12000,0,12000,11780.11
41105,EAE-KO KONTSUMOBIDE,76000,0,76000,75864.3
41106,LANBIDE. EUSKAL ENPLEGU ZERBITZUA,0,3381214.09,3381214.09,2802485.03
42001,BIZKAIKO FORU ALDUNDIA. PARTAIDETZA ZERGA ITUNDUETAN (UDALKUTXA),293621700,0,293621700,283389549
42002,BFA. GIZARTEKINTZA,2620000,0,2620000,2187732.39
42004,BFA. KULTURA,144210,0,144210,91993.51
42005,BFA.AHALDUN NAGUSIAKO KABINETEA,0,108475,108475,108475
42007,BFA. OGASUN ETA FINANTZAK,150000,0,150000,149994.12
42008,BFA. INGURUGIRO ETA LURRALDE EKINTZA,0,106594.5,106594.5,193797.53
49010,SOZIALEKO EUROPAKO FUNTSA. LANBIDEA ETA GIZA BALIABIDEAK,0,0,0,83105.52
49302,EUROPAKO BATASUNA. HIRI HONDAKIN SOLIDOEN TRATAMENDUA,0,0,0,14627.99
49303,EUROPAKO ELKARTASUNA. INGURUMENA,0,100699,100699,0
49350,ERAKUNDE LAGUNTZAILEEN BIDEZ JASOTAKO FUNTS KOMUNITARIOAK,0,129223.72,129223.72,160303.8
53201,MERCABILBAOREN MOZKINETAKO DIBIDENDUAK ETA PARTE HARTZEAK,120000,0,120000,90441.57
53202,BIOARTIGASEN MOZKINETAKO DIBIDENDUAK ETA PARTE HARTZEAK,200000,0,200000,45605.69
53209,BESTEEN MOZKINETAKO DIBIDENDUAK  ETA PARTE HARTZEAK,0,0,0,5.69
54001,HIRI FINKEN ERRENTAMENDUA,70000,0,70000,86336.1
55001,ADMINISTRAZIO EMAKIDAK MERKATARITZAKO ETA INDUSTRI  AKO INSTALAZIOETARAKO,200000,0,200000,26298.37
55002,KIOSKOEN ADMINISTRAZIO EMAKIDA,120000,0,120000,110825.05
55003,ADMINISTRAZIO EMAKIDA SOLLANOKO ZENTRALA USTIATZEKO,150000,0,150000,8984.52
55010,APARKALEKUEN KANONAK,1180000,0,1180000,1173726.15
55999,BESTE SARRERA BATZUK ADMINISTRAZIO EMAKIDA ETA APROBETXAMENDUENGATIK,1600000,0,1600000,4151582.96
56001,FINANTZA ETXEETAKO GORDAILUEN INTERESAK,500000,0,500000,104751.74
59999,ONDAREZKO BESTE SARRERA BATZUK,0,0,0,462
60001,ORUBEAK BESTERENTZEA,15000,0,15000,1
61201,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK BESTERENTZEA,0,0,0,95406.3
65001,URBANIZAZIO-KUOTAK,600000,0,600000,1438925.48
65109,KONPENTSAZIO URBANISTIKOAK,0,0,0,2801589.64
68001,ITXITAKO EKITALDEKO ITZULTZEAK. KAPITAL OPERAZIOAK,0,0,0,281808.34
71002,"EAE-KO HEZKUNTZA, UNIBERTSITATE ETA IKERKETA",780000,0,780000,125710.25
71003,"EAE-KO INGURUMEN,LURRALDEPLANGINTZA,NEKATARITZA ETA ARRANTZA",0,0,0,106672.72
71004,EAE-KO KULTURA,100000,0,100000,117509.66
71008,EAE-KO GARRAIO ETA HERRI LANA,0,0,0,150000
71012,EAE-KO GARAPEN EKONOMIKOA ETA KONPETITIBITATEA,0,0,0,74340
71201,ENERGIAREN EUSKAL ERAKUNDEA,50000,0,50000,128197.93
72008,BFA. INGURUGIRO ETA LURRALDE EKINTZA,0,32992.65,32992.65,54567.22
72101,BILBO HANDIKO UREN PARTZUERGOA,288000,0,288000,286075
79302,EUROPAKO BATASUNA. HIRI HONDAKIN SOLIDOEN TRATAMENDUA,0,0,0,983314.59
83201,ERAKUNDEAREN E.L. AURRERAKIN ETA MAILEGUEN ITZULKETA,0,0,0,18133.98
83301,PERTSONALAREN AURRERAKINEN ITZULKETA,400000,0,400000,165989.87
87002,DIRUZAINTZAKO GERAKINA. KREDITUEN INKORPORAZIOAK FINANTZATZEKO APLIKAZIOA,0,52558.61,52558.61,0
93301,SEKTORE PUBLIKOTIK KANPOKO BARRUKO EPE LUZ. MAILEGUAK,22000000,0,22000000,0
