#Subconcepto,,"Prevision Inicial 2015","Modificaciones 2015","Previsión definitiva 2015","Derechos reconocidos netos 2015"
39103,MULTAS POR INFRACCIONES ADMINISTRATIVAS,548000,0,548000,718004.86
39104,MULTAS POR INFRACCIONES TRIBUTARIAS,6000,0,6000,1426
39105,MULTAS POR INFRACCIONES MEDIOAMBIENTALES,10000,0,10000,21000
39201,RECARGOS DE APREMIOS,1640000,0,1640000,1487706.59
39301,INTERESES DE DEMORA,820000,0,820000,854201.09
39601,COMPENSACIONES TRIBUTARIAS,1642000,0,1642000,1294763.23
39901,PUBLICIDAD EN PERIODICOS Y REVISTAS MUNICIPALES,10000,0,10000,0
39902,DERECHOS DE EXAMEN,0,0,0,4572
39903,RECOGIDA ESPECIAL Y DESTRUCCION DE BASURAS A OTROS AYUNTAMIENTOS,40000,0,40000,0
39904,SUMINISTRO DE AGUAS A OTROS AYUNTAMIENTOS,0,0,0,10341.12
39905,SISTEMAS INTEGRADOS DE GESTION DE ENVASES/PAPEL,1800000,0,1800000,1773282.77
39906,EJECUCION DE GARANTIAS,3000,0,3000,32281.38
39907,RAPPEL SOBRE FACTURACION,4000,0,4000,0.52
39908,COMPENSACIÓN SERVICIOS CONCERTADOS CON OTROS AYUNTAMIENTOS,60000,0,60000,141540.46
39910,INGRESOS POR ACTIVIDADES PROGRAMADAS POR LAS AREAS,18000,0,18000,11933.3
39911,PATROCINIO PUBLICITARIO,100000,0,100000,26942.97
39912,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,11024.84
39913,EJECUCION SUBSIDIARIA DE OBRAS E INSTALACIONES A CARGO DE PARTICULARES,200000,0,200000,144484.72
39916,DAÑOS EN BIENES MUNICIPALES,100000,0,100000,165354.42
39999,OTROS INGRESOS,1000000,0,1000000,495179.42
40001,PARTICIPACION EN TRIBUTOS NO CONCERTADOS,700000,0,700000,657813.49
40004,MINISTERIO DE TRABAJO,0,0,0,15280
40005,"MINISTERIO DE SANIDAD , SERVICIOS SOCIALES E IGUALDAD",40000,0,40000,0
40010,SUBDELEGACION DEL GOBIERNO EN BIZKAIA,60000,0,60000,29411.1
40101,INSTITUTO NACIONAL DE ADMINISTRACIONES PUBLICAS (INAP),30000,0,30000,0
40102,INSTITUTO NACIONAL DE ESTADISTICA (INE),4000,0,4000,3736.28
40106,INAEM.INSTUTUTO NACIONAL  ARTES ESCÉNICAS Y MÚSICA,9000,0,9000,9000
40107,INSTITUTO DE LA CINEMATOGRAFÍA Y LAS ARTES VISUALES,0,0,0,5000
40108,INSTITUTO MUJER,0,0,0,17000
41001,C.A.P.V. EMPLEO Y ASUNTOS SOCIALES,4887900,289444.75,5177344.75,5205519.36
41002,"C.A.P.V. EDUCACION, UNIVERSIDADES E INVESTIGACION",150000,0,150000,274975.28
41003,"C.A.P.V. MEDIO AMBIENTE, PLANIFICACIÓN TERRITORIAL, AGRICULTURA Y PESCA",10500,0,10500,15000
41004,C.A.P.V. CULTURA,68000,0,68000,107783
41012,C.A.P.V. DESARROLLO ECONÓMICO Y COMPETITIVIDAD,0,22260,22260,0
41013,C.A.P.V. LEHENDAKARITZA,0,2131.38,2131.38,8129.18
41101,INSTITUTO VASCO DE ADMINISTRACION PUBLICA (IVAP),120000,0,120000,111787.01
41103,INSTITUTO VASCO DE LA MUJER (EMAKUNDE),12000,0,12000,0
41105,CAPV INSTITUTO VASCO DE CONSUMO. KONTSUMOBIDE,76000,0,76000,75492.64
41106,LANBIDE. SERVICIO VASCO DE EMPLEO,0,2908229.16,2908229.16,2908229.16
41201,ENTE VASCO DE LA ENERGÍA (EVE),0,0,0,3099.18
42001,DIPUTACION FORAL DE BIZKAIA. PARTICIPACION EN TRIBUTOS CONCERTADOS (UDALKUTXA),306460400,0,306460400,299450002
42002,D.F.B. ACCION SOCIAL,2267200,0,2267200,2191690.83
42004,D.F.B. CULTURA,87000,0,87000,284643.12
42007,D.F.B. HACIENDA Y FINANZAS,150000,0,150000,88480.69
42008,D.F.B. MEDIO AMBIENTE Y ACCION TERRITORIAL,0,31801,31801,0
42010,D.F.B. RELACIONES MUNICIPALES Y ADMÓN. PÚBLICA,0,0,0,7397.54
42011,D.F.B. PRESIDENCIA,0,0,0,109557.49
49303,UNION EUROPEA. MEDIO AMBIENTE,0,76604.06,76604.06,108217.8
49305,"UNION EUROPEA. ACCIONES INVESTIGACIÓN, DESARROLLO TECNOLÓGICO",0,0,0,19914.49
49306,UNION EUROPEA. FONDOS EUROPEOS PARA LA INTEGRACIÓN,0,0,0,42780
49350,FONDOS COMUNITARIOS RECIBIDOS A TRAVES DE ENTIDADES COLABORADORAS,0,45370,45370,227407.56
53201,DIVIDENDOS Y PARTICIPACIONES EN BENEFICIOS DE MERCABILBAO,120000,0,120000,90442.48
53202,DIVIDENDOS Y PARTICIPACIONES EN BENEFICIOS DE BIOARTIGAS,200000,0,200000,52633.11
53209,DIVIDENDOS Y PARTICIPACIONES EN BENEFICIOS OTROS,0,0,0,6.4
54001,ARRENDAMIENTOS DE FINCAS URBANAS,70000,0,70000,39397.04
55001,CONCESIONES ADMINISTRATIVAS PARA INSTALACIONES COMERCIALES E INDUSTRIALES,200000,0,200000,70013.23
55002,CONCESIONES ADMINISTRATIVAS DE KIOSKOS,120000,0,120000,115913.91
55003,CONCESION ADMINISTRATIVA EXPLOTACION CENTRAL DE SOLLANO,150000,0,150000,22468.89
55010,CANONES APARCAMIENTOS,1180000,0,1180000,0
55999,OTROS INGRESOS POR CONCESIONES ADMINISTRATIVAS Y APROVECHAMIENTOS,1500000,0,1500000,2825463.06
56001,INTERESES DE DEPOSITOS EN ENTIDADES FINANCIERAS,200000,0,200000,167421.97
59999,OTROS INGRESOS PATRIMONIALES,0,0,0,462
60001,ENAJENACION DE SOLARES,15000,0,15000,191160
61201,ENAJENACION DE EDIFICIOS Y OTRAS CONSTRUCCIONES,0,0,0,140000
65001,CUOTAS DE URBANIZACIÓN,600000,0,600000,0
65109,COMPENSACIONES URBANÍSTICAS,0,0,0,3011303.3
71002,"C.A.P.V. EDUCACION, UNIVERSIDADES E INVESTIGACION",660000,0,660000,411295.39
71004,C.A.P.V. CULTURA,90000,0,90000,101435
71008,.,0,0,0,46574.18
71012,C.A.P.V. DESARROLLO ECONÓMICO Y COMPETITIVIDAD,0,0,0,59871.36
71201,C.A.P.V. EVE-ENTE VASCO DE ENERGÍA,45000,0,45000,65522.62
72008,D.F.B. MEDIO AMBIENTE Y ACCION TERRITORIAL,0,21574.57,21574.57,72000
72101,CONSORCIO DE AGUAS DEL GRAN BILBAO,310000,0,310000,631392.38
83201,REINTEGRO DE ANTICIPOS Y PRESTAMOS A L/P DE LA ENTIDAD,0,0,0,18133.98
83301,REINTEGRO ANTICIPOS DEL PERSONAL,400000,0,400000,170513.19
87001,REMANENTE DE TESORERIA. APLICACION PARA FINANCIACION CREDITOS ADICIONALES,0,5765414,5765414,0
87002,REMANENTE DE TESORERIA. APLICACION PARA FINANCIACION INCORPORACIONES CREDITOS,0,9298298.84,9298298.84,0
87003,REMANENTE DE TESORERIA AFECTADO. FINANCIACION INCORPORACIONES DE CREDITOS,0,80232,80232,0
