#Subconcepto,,"Prevision Inicial 2016","Modificaciones 2016","Previsión definitiva 2016","Derechos reconocidos netos 2016"
34102,PRECIO PÚBLICO POR PRESTACIÓN DE SERVICIOS O ACTIVIDADES MUNICIPALES,180000,0,180000,283642.85
35202,PRECIOS PÚBLICOS POR SERVICIOS GENERALES,0,0,0,-807.67
36101,CONTRIBUCIONES ESPECIALES POR EL SERVICIO DE EXTINCION DE INCENDIOS,2250000,0,2250000,2215657.75
38001,REINTEGROS DE PRESUPUESTOS CERRADOS,122000,40335,162335,1897642.61
39101,MULTAS POR INFRACCIONES A LA LEY DE TRAFICO,7700000,0,7700000,9073403.11
39102,MULTAS POR INFRACCIONES A ORDENANZAS DE TRAFICO Y APARCAMIENTO (OTA/TAO),2650000,0,2650000,6754021.81
39103,MULTAS POR INFRACCIONES ADMINISTRATIVAS,550000,0,550000,793043.84
39104,MULTAS POR INFRACCIONES TRIBUTARIAS,15000,0,15000,11425
39105,MULTAS POR INFRACCIONES MEDIOAMBIENTALES,10000,0,10000,13800
39201,RECARGOS DE APREMIOS,1640000,0,1640000,1285478.45
39301,INTERESES DE DEMORA,820000,0,820000,670874.33
39601,COMPENSACIONES TRIBUTARIAS,1642000,0,1642000,1678524.19
39901,PUBLICIDAD EN PERIODICOS Y REVISTAS MUNICIPALES,10000,0,10000,0
39902,DERECHOS DE EXAMEN,0,0,0,3048
39904,SUMINISTRO DE AGUAS A OTROS AYUNTAMIENTOS,0,0,0,1664.49
39905,SISTEMAS INTEGRADOS DE GESTION DE ENVASES/PAPEL,1800000,0,1800000,2271183.8
39906,EJECUCION DE GARANTIAS,3000,0,3000,16417.9
39907,RAPPEL SOBRE FACTURACION,4000,0,4000,0
39908,COMPENSACIÓN SERVICIOS CONCERTADOS CON OTROS AYUNTAMIENTOS,60000,0,60000,69508.25
39910,INGRESOS POR ACTIVIDADES PROGRAMADAS POR LAS AREAS,18000,0,18000,2390.2
39911,PATROCINIO PUBLICITARIO,85000,0,85000,0
39912,ANUNCIOS A CARGO DE PARTICULARES,20000,0,20000,18251.53
39913,EJECUCION SUBSIDIARIA DE OBRAS E INSTALACIONES A CARGO DE PARTICULARES,200000,0,200000,23447.01
39916,DAÑOS EN BIENES MUNICIPALES,100000,0,100000,123732.06
39999,OTROS INGRESOS,800000,0,800000,395084.57
40001,PARTICIPACION EN TRIBUTOS NO CONCERTADOS,700000,0,700000,527203.01
40005,"MINISTERIO DE SANIDAD , SERVICIOS SOCIALES E IGUALDAD",120000,7980,127980,58796.65
40010,SUBDELEGACION DEL GOBIERNO EN BIZKAIA,60000,0,60000,40427.1
40102,INSTITUTO NACIONAL DE ESTADISTICA (INE),4000,0,4000,3724.16
40104,INSTITUTO DE LA JUVENTUD,0,7320,7320,5856
40106,INAEM.INSTUTUTO NACIONAL  ARTES ESCÉNICAS Y MÚSICA,9000,0,9000,9000
41001,C.A.P.V. EMPLEO Y ASUNTOS SOCIALES,5151590,272269.32,5423859.32,7202717.03
41002,"C.A.P.V. EDUCACION, UNIVERSIDADES E INVESTIGACION",150000,0,150000,236946.22
41003,"C.A.P.V. MEDIO AMBIENTE, PLANIFICACIÓN TERRITORIAL, AGRICULTURA Y PESCA",10500,0,10500,24872.11
41004,C.A.P.V. CULTURA,122000,0,122000,122719.5
41005,C.A.P.V. INTERIOR,0,0,0,46280
41012,C.A.P.V. DESARROLLO ECONÓMICO Y COMPETITIVIDAD,0,0,0,15582
41013,C.A.P.V. LEHENDAKARITZA,0,0,0,7477.45
41101,INSTITUTO VASCO DE ADMINISTRACION PUBLICA (IVAP),120000,0,120000,120913.84
41103,INSTITUTO VASCO DE LA MUJER (EMAKUNDE),12000,0,12000,11780.11
41105,CAPV INSTITUTO VASCO DE CONSUMO. KONTSUMOBIDE,76000,0,76000,75864.3
41106,LANBIDE. SERVICIO VASCO DE EMPLEO,0,3381214.09,3381214.09,2802485.03
42001,DIPUTACION FORAL DE BIZKAIA. PARTICIPACION EN TRIBUTOS CONCERTADOS (UDALKUTXA),293621700,0,293621700,283389549
42002,D.F.B. ACCION SOCIAL,2620000,0,2620000,2187732.39
42004,D.F.B. CULTURA,144210,0,144210,91993.51
42005,D.F.B. GABINETE DEL DIPUTADO GENERAL,0,108475,108475,108475
42007,D.F.B. HACIENDA Y FINANZAS,150000,0,150000,149994.12
42008,D.F.B. MEDIO AMBIENTE Y ACCION TERRITORIAL,0,106594.5,106594.5,193797.53
49010,FONDO SOCIAL EUROPEO. EMPLEO Y RECURSOS HUMANOS,0,0,0,83105.52
49302,UNION EUROPEA. TRATAMIENTO RESIDUOS SOLIDOS URBANOS,0,0,0,14627.99
49303,UNION EUROPEA. MEDIO AMBIENTE,0,100699,100699,0
49350,FONDOS COMUNITARIOS RECIBIDOS A TRAVES DE ENTIDADES COLABORADORAS,0,129223.72,129223.72,160303.8
53201,DIVIDENDOS Y PARTICIPACIONES EN BENEFICIOS DE MERCABILBAO,120000,0,120000,90441.57
53202,DIVIDENDOS Y PARTICIPACIONES EN BENEFICIOS DE BIOARTIGAS,200000,0,200000,45605.69
53209,DIVIDENDOS Y PARTICIPACIONES EN BENEFICIOS OTROS,0,0,0,5.69
54001,ARRENDAMIENTOS DE FINCAS URBANAS,70000,0,70000,86336.1
55001,CONCESIONES ADMINISTRATIVAS PARA INSTALACIONES COMERCIALES E INDUSTRIALES,200000,0,200000,26298.37
55002,CONCESIONES ADMINISTRATIVAS DE KIOSKOS,120000,0,120000,110825.05
55003,CONCESION ADMINISTRATIVA EXPLOTACION CENTRAL DE SOLLANO,150000,0,150000,8984.52
55010,CANONES APARCAMIENTOS,1180000,0,1180000,1173726.15
55999,OTROS INGRESOS POR CONCESIONES ADMINISTRATIVAS Y APROVECHAMIENTOS,1600000,0,1600000,4151582.96
56001,INTERESES DE DEPOSITOS EN ENTIDADES FINANCIERAS,500000,0,500000,104751.74
59999,OTROS INGRESOS PATRIMONIALES,0,0,0,462
60001,ENAJENACION DE SOLARES,15000,0,15000,1
61201,ENAJENACION DE EDIFICIOS Y OTRAS CONSTRUCCIONES,0,0,0,95406.3
65001,CUOTAS DE URBANIZACIÓN,600000,0,600000,1438925.48
65109,COMPENSACIONES URBANÍSTICAS,0,0,0,2801589.64
68001,REINTEGROS EJERCICIOS CDOS. OPERACIONES DE CAPITAL,0,0,0,281808.34
71002,"C.A.P.V. EDUCACION, UNIVERSIDADES E INVESTIGACION",780000,0,780000,125710.25
71003,"C.A.P.V. MEDIO AMBIENTE, PLANIFICACIÓN TERRITORIAL, AGRICULTURA Y PESCA",0,0,0,106672.72
71004,C.A.P.V. CULTURA,100000,0,100000,117509.66
71008,.,0,0,0,150000
71012,C.A.P.V. DESARROLLO ECONÓMICO Y COMPETITIVIDAD,0,0,0,74340
71201,C.A.P.V. EVE-ENTE VASCO DE ENERGÍA,50000,0,50000,128197.93
72008,D.F.B. MEDIO AMBIENTE Y ACCION TERRITORIAL,0,32992.65,32992.65,54567.22
72101,CONSORCIO DE AGUAS DEL GRAN BILBAO,288000,0,288000,286075
79302,UNION EUROPEA. TRATAMIENTO RESIDUOS SOLIDOS URBANOS,0,0,0,983314.59
83201,REINTEGRO DE ANTICIPOS Y PRESTAMOS A L/P DE LA ENTIDAD,0,0,0,18133.98
83301,REINTEGRO ANTICIPOS DEL PERSONAL,400000,0,400000,165989.87
87002,REMANENTE DE TESORERIA. APLICACION PARA FINANCIACION INCORPORACIONES CREDITOS,0,52558.61,52558.61,0
93301,PRESTAMOS L/P DEL INTERIOR FUERA DEL SECTOR PUBLICO,22000000,0,22000000,0
